YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2025,0,0,35908,cargurus.com
2024,1,634,32990,carvana.com
2024,1,6459,33998,carmax.com
2024,1,24564,29197,cargurus.com
2023,2,18077,27990,carvana.com
2023,2,998,31998,carmax.com
2023,2,14721,30197,cargurus.com
2022,3,16752,24990,carvana.com
2022,3,50631,23998,carmax.com
2022,3,42120,21492,cargurus.com
2021,4,33176,25590,carvana.com
2021,4,79522,20998,carmax.com
2021,4,79773,20998,cargurus.com
2020,5,39478,23990,carvana.com
2020,5,56527,22998,carmax.com
2020,5,56787,22998,cargurus.com
2019,6,43952,21990,carvana.com
2019,6,79278,19998,carmax.com
2019,6,129563,15995,cargurus.com
