Date,Close/Last,Volume,Open,High,Low,Day
08/28/2020,"122,641.23",N/A,"122,641.23","153,601.54","91,680.92",1126
08/31/2020,"122,641.23",N/A,"122,641.23","122,641.23","122,641.23","1,125"
09/01/2020,"122,641.23",N/A,"122,641.23","122,641.23","122,641.23",1124
09/02/2020,"92,640.93",N/A,"96,000.96","96,000.96","92,640.93","1,123"
09/03/2020,"93,024.93",3,"93,312.93","93,312.93","93,024.93",1122
09/04/2020,"93,504.94",66,"93,120.93","93,696.94","93,024.93","1,121"
09/08/2020,"93,504.94",N/A,"93,504.94","93,504.94","93,504.94",1120
09/09/2020,"93,504.94",1,"93,408.93","93,504.94","93,216.93","1,119"
09/10/2020,"93,600.94",152,"93,600.94","93,600.94","93,216.93",1118
09/11/2020,"93,408.93",1,"93,312.93","94,176.94","93,312.93","1,117"
09/14/2020,"93,600.94",35,"93,408.93","93,600.94","93,120.93",1116
09/15/2020,"93,216.93",9,"96,000.96","102,625.03","93,216.93","1,115"
09/16/2020,"93,311.97",8,"93,312.93","93,312.93","93,216.93",1114
09/17/2020,"93,504.94",114,"93,504.94","93,600.94","93,312.93","1,113"
09/18/2020,"93,792.94",24,"94,512.95","94,512.95","93,408.93",1112
09/21/2020,"93,792.94",57,"93,498.22","93,792.94","93,498.22","1,111"
09/22/2020,"93,600.94",10,"93,696.94","93,696.94","93,600.94",1110
09/23/2020,"93,696.94",54,"93,600.94","93,792.94","93,600.94","1,109"
09/24/2020,"93,600.94",33,"93,600.94","93,696.94","93,600.94",1108
09/25/2020,"93,600.94",17,"93,600.94","93,696.94","93,600.94","1,107"
09/28/2020,"93,696.94",N/A,"93,600.94","93,696.94","93,600.94",1106
09/29/2020,"93,792.94",86,"93,696.94","94,080.94","93,696.94","1,105"
09/30/2020,"94,176.94",63,"93,792.94","95,040.95","93,600.94",1104
10/01/2020,"93,792.94",22,"94,080.94","94,176.94","93,696.94","1,103"
10/02/2020,"93,600.94",37,"93,600.94","93,696.94","93,600.94",1102
10/05/2020,"94,080.94",N/A,"94,080.94","94,080.94","94,080.94","1,101"
10/06/2020,"93,696.94",2,"93,792.94","93,792.94","93,696.94",1100
10/07/2020,"93,792.94",N/A,"93,792.94","93,792.94","93,792.94","1,099"
10/08/2020,"93,792.94",2,"93,696.94","93,792.94","93,696.94",1098
10/09/2020,"93,504.94",2,"93,696.94","93,696.94","93,504.94","1,097"
10/12/2020,"93,696.94",N/A,"93,600.94","93,744.94","93,600.94",1096
10/13/2020,"93,408.93",16,"93,216.93","93,408.93","93,120.93","1,095"
10/14/2020,"93,408.93",32,"93,408.93","93,408.93","93,408.93",1094
10/15/2020,"93,312.93",11,"93,408.93","93,408.93","93,312.93","1,093"
10/16/2020,"93,408.93",2,"93,408.93","93,984.94","93,407.01",1092
10/19/2020,"93,408.93",8,"93,408.93","93,888.94","93,408.93","1,091"
10/20/2020,"93,408.93",1,"93,408.93","93,408.93","93,408.93",1090
10/21/2020,"93,408.93",N/A,"93,408.93","93,408.93","93,408.93","1,089"
10/22/2020,"93,312.93",22,"93,216.93","93,312.93","92,928.93",1088
10/23/2020,"93,120.93",N/A,"93,312.93","93,312.93","92,928.93","1,087"
10/26/2020,"93,600.94",12,"92,928.93","93,600.94","92,928.93",1086
10/27/2020,"92,976.93",1,"92,928.93","93,120.93","92,928.93","1,085"
10/28/2020,"93,216.93",17,"92,928.93","93,216.93","92,832.93",1084
10/29/2020,"92,832.93",13,"92,928.93","93,120.93","92,730.21","1,083"
10/30/2020,"92,736.93",10,"92,928.93","92,928.93","92,736.93",1082
11/02/2020,"92,640.93",2,"93,120.93","93,120.93","92,640.93","1,081"
11/03/2020,"92,736.93",2,"92,736.93","93,120.93","92,640.93",1080
11/04/2020,"93,120.93",1,"92,832.93","93,120.93","92,832.93","1,079"
11/05/2020,"93,216.93",N/A,"93,120.93","93,216.93","93,120.93",1078
11/06/2020,"93,006.69",N/A,"93,006.69","93,006.69","93,006.69","1,077"
11/09/2020,"93,218.85",1,"93,216.93","93,312.93","93,216.93",1076
11/10/2020,"93,120.93",1,"93,120.93","93,120.93","93,120.93","1,075"
11/11/2020,"93,120.93",1,"93,120.93","93,312.93","93,120.93",1074
11/12/2020,"93,311.97",1,"93,120.93","93,311.97","93,120.93","1,073"
11/13/2020,"93,312.93",1,"93,312.93","93,312.93","93,312.93",1072
11/16/2020,"93,408.93",11,"93,408.93","93,504.94","93,408.93","1,071"
11/17/2020,"93,600.94",59,"93,408.93","93,696.94","93,360.93",1070
11/18/2020,"93,888.94",13,"93,792.94","93,888.94","93,408.93","1,069"
11/19/2020,"93,792.94",N/A,"93,408.93","93,792.94","93,408.93",1068
11/20/2020,"93,408.93",1,"93,312.93","93,792.94","93,312.93","1,067"
11/23/2020,"93,408.93",6,"93,408.93","93,696.94","93,312.93",1066
11/24/2020,"93,792.94",N/A,"93,312.93","93,792.94","93,312.93","1,065"
11/25/2020,"93,792.94",N/A,"93,312.93","93,792.94","93,312.93",1064
11/27/2020,"94,176.94",1,"93,888.94","94,176.94","93,888.94","1,063"
11/30/2020,"94,080.94",N/A,"94,079.98","94,080.94","93,697.90",1062
12/01/2020,"94,080.94",1,"94,080.94","94,176.94","93,792.94","1,061"
12/02/2020,"94,176.94",11,"94,176.94","94,368.94","94,128.94",1060
12/03/2020,"94,464.94",2,"94,176.94","94,560.95","94,176.94","1,059"
12/04/2020,"94,368.94",N/A,"94,272.94","94,368.94","94,272.94",1058
12/07/2020,"94,176.94",8,"94,992.95","95,040.95","94,080.94","1,057"
12/08/2020,"94,560.95",2,"94,176.94","95,520.96","94,176.94",1056
12/09/2020,"95,232.95",5,"94,560.95","95,520.96","94,560.95","1,055"
12/10/2020,"95,136.95",2,"95,232.95","95,520.96","94,848.95",1054
12/11/2020,"95,616.96",24,"95,520.96","95,904.96","95,040.95","1,053"
12/14/2020,"95,904.96",2,"95,837.76","95,904.96","95,040.95",1052
12/15/2020,"95,808.96",27,"95,520.96","95,904.96","94,272.94","1,051"
12/16/2020,"96,000.96",18,"95,808.96","96,192.96","95,040.95",1050
12/17/2020,"96,000.96",11,"96,000.96","96,000.96","95,712.96","1,049"
12/18/2020,"96,000.96",24,"96,000.96","96,096.96","95,808.96",1048
12/21/2020,"96,000.96",7,"95,808.96","96,192.96","95,808.96","1,047"
