Date,Day of the Week,Amount,Description,Financial goals and Savings,Method of Payment,Need/Want/Saving
1/17/2025,Friday,5.25,Coffee at skyline ,Entertainment and Recreation,Debit,Want
1/17/2025,Friday,12.71,Notebooks at skyline bookstore,Financial goals and Savings,Debit,Need
1/17/2025,Friday,368.71,Money transfer to Nepal,Financial goals and Savings,Debit,Need
1/17/2025,Saturday,5.39,Chips at Gas station store,Food,Cash,Want
1/18/2025,Saturday,12,Bus fare to work,Travel,Debit,Need
1/19/2025,Sunday,30,Send money to brother,Entertainment and Recreation,Debit,Want
1/19/2025,Sunday,7.5,Meal at Panda Express,Food,Debit,Want
1/20/2025,Monday,100,Money transfer to saving,Financial goals and Savings,Debit,Savings
1/21/2025,Tuesday,10,Transfer to cliper card ,Travel,Debit,Need
1/24/2025,Friday,15,Transfer to cliper card ,Travel,Debit,Need
1/25/2025,Saturday,5.38,chips at Gas station store,Food,Debit,Want
1/26/2025,Sunday,13.82,notebook and pen at target,Financial goals and Savings,Debit,Need
1/27/2025,Tuesday,30 ,Transfer to cliper card ,Travel,Debit,Need
1/29/2025,Wednesday,21.71,burrito and nacho fries at taco bell,Food,Debit,Want
1/30/2025,Thursday,10,Transfer to cliper card ,Travel,Debit,Need
