Date,Close/Last,Volume,Open,High,Low,Day
08/28/2020,1.49,6529650,1.55,1.57,1.46,0
08/31/2020,1.60,10641040,1.69,1.82,1.57,1
09/01/2020,1.66,7586880,1.71,1.73,1.63,2
09/02/2020,1.73,20366760,1.67,1.86,1.57,3
09/03/2020,1.58,7256584,1.57,1.60,1.49,4
09/04/2020,1.60,36756900,1.95,2.02,1.59,5
09/08/2020,1.77,21432500,1.47,1.81,1.44,6
09/09/2020,1.46,3336367,1.39,1.49,1.37,7
09/10/2020,1.41,4841357,1.48,1.51,1.40,8
09/11/2020,1.52,13606170,1.34,1.54,1.34,9
09/14/2020,1.31,3535505,1.30,1.35,1.28,10
09/15/2020,1.33,4563274,1.40,1.42,1.29,11
09/16/2020,1.39,6568793,1.35,1.42,1.33,12
09/17/2020,1.37,5540197,1.30,1.40,1.28,13
09/18/2020,1.32,5738187,1.25,1.38,1.23,14
09/21/2020,1.32,7398402,1.20,1.34,1.20,15
09/22/2020,1.25,14785020,1.38,1.40,1.20,16
09/23/2020,1.37,28883050,1.52,1.54,1.36,17
09/24/2020,1.35,9893993,1.37,1.38,1.32,18
09/25/2020,1.36,7851584,1.50,1.50,1.30,19
09/28/2020,1.45,9961582,1.43,1.62,1.40,20
09/29/2020,1.41,3873846,1.41,1.44,1.36,21
09/30/2020,1.42,5603886,1.47,1.50,1.40,22
10/01/2020,1.47,7470354,1.50,1.54,1.42,23
10/02/2020,1.51,7538037,1.55,1.65,1.49,24
10/05/2020,1.53,7561648,1.56,1.64,1.47,25
10/06/2020,1.55,13760860,1.43,1.66,1.43,26
10/07/2020,1.40,8562020,1.48,1.56,1.38,27
10/08/2020,1.43,20335830,1.59,1.84,1.36,28
10/09/2020,1.56,18261260,1.91,1.98,1.54,29
10/12/2020,2.08,18436720,2.13,2.14,1.86,30
10/13/2020,2.15,24817580,2.42,2.70,2.10,31
10/14/2020,2.41,41546350,3.06,3.09,2.24,32
10/15/2020,3.18,37577140,3.08,3.47,2.95,33
10/16/2020,3.69,93166990,2.80,3.82,2.58,34
10/19/2020,2.43,159522900,4.22,4.46,2.12,35
10/20/2020,3.14,159235700,2.29,3.24,2.19,36
10/21/2020,1.76,32822020,1.41,1.77,1.33,37
10/22/2020,1.32,11561530,1.21,1.39,1.21,38
10/23/2020,1.24,7874888,1.10,1.31,1.10,39
10/26/2020,1.11,22134690,1.29,1.35,1.09,40
10/27/2020,1.16,4661606,1.10,1.18,1.06,41
10/28/2020,1.10,2793062,1.10,1.13,1.07,42
10/29/2020,1.09,4438903,1.10,1.16,1.06,43
10/30/2020,1.13,4764212,1.20,1.22,1.11,44
11/02/2020,1.20,3960418,1.25,1.29,1.18,45
11/03/2020,1.24,2746941,1.15,1.25,1.14,46
11/04/2020,1.17,2409179,1.18,1.22,1.12,47
11/05/2020,1.18,3071808,1.24,1.25,1.16,48
11/06/2020,1.23,3729726,1.30,1.30,1.20,49
11/09/2020,1.35,10755630,1.18,1.38,1.15,50
11/10/2020,1.18,7259538,1.22,1.31,1.15,51
11/11/2020,1.22,8769948,1.16,1.25,1.07,52
11/12/2020,1.15,6450757,1.05,1.18,1.05,53
11/13/2020,1.07,6146256,1.10,1.12,1.02,54
11/16/2020,1.13,4880001,1.11,1.17,1.10,55
11/17/2020,1.10,9127040,1.23,1.23,0.99,56
11/18/2020,1.23,6518626,1.31,1.36,1.21,57
11/19/2020,1.34,6498570,1.40,1.44,1.29,58
11/20/2020,1.42,9651953,1.55,1.70,1.39,59
11/23/2020,1.51,3492203,1.55,1.57,1.48,60
11/24/2020,1.57,6641491,1.50,1.57,1.40,61
